age_cat,stab,variable,value
50,IL,female,425011
50,IN,female,211693
50,KS,female,82424
50,KY,female,148336
50,LA,female,149767
50,MA,female,251937
50,MD,female,220888
50,ME,female,49101
50,MI,female,340374
50,MN,female,176388
50,MO,female,190091
50,MS,female,94461
50,MT,female,29344
50,NC,female,348776
50,ND,female,19618
50,NE,female,59020
50,NH,female,49462
50,NJ,female,326578
50,NM,female,58075
50,NV,female,90846
50,NY,female,704428
50,OH,female,387611
50,OK,female,115990
50,OR,female,127071
50,PA,female,429130
50,RI,female,36987
50,SC,female,159772
50,SD,female,23887
50,TN,female,226450
50,TX,female,873338
50,UT,female,74993
50,VA,female,296136
50,VT,female,22781
50,WA,female,231360
50,WI,female,191564
50,WV,female,56947
50,WY,female,16289
55,AK,female,23025
55,AL,female,174382
55,AR,female,101469
55,AZ,female,218076
55,CA,female,1315527
55,CO,female,186851
55,CT,female,144150
55,DC,female,17154
55,DE,female,36472
55,FL,female,733693
55,GA,female,355085
55,HI,female,43436
55,IA,female,110066
55,ID,female,51729
55,IL,female,457426
55,IN,female,234391
55,KS,female,100947
55,KY,female,159371
55,LA,female,165359
55,MA,female,255655
55,MD,female,235860
55,ME,female,56486
55,MI,female,371224
55,MN,female,206357
55,MO,female,221086
55,MS,female,107120
55,MT,female,40042
55,NC,female,359134
55,ND,female,24682
55,NE,female,62966
55,NH,female,57340
55,NJ,female,355555
55,NM,female,74760
55,NV,female,94507
55,NY,female,710889
55,OH,female,426549
55,OK,female,132923
55,OR,female,132744
55,PA,female,480858
55,RI,female,41652
55,SC,female,174342
55,SD,female,27855
55,TN,female,240412
55,TX,female,880050
55,UT,female,76191
55,VA,female,310148
55,VT,female,24712
55,WA,female,241197
55,WI,female,213217
55,WV,female,67959
55,WY,female,19447
60,AK,female,25872
60,AL,female,176352
60,AR,female,103456
60,AZ,female,213406
60,CA,female,1244431
60,CO,female,176231
60,CT,female,131594
60,DC,female,19831
60,DE,female,35195
60,FL,female,706084
60,GA,female,332526
60,HI,female,47517
60,IA,female,106893
60,ID,female,53877
60,IL,female,448848
60,IN,female,229672
60,KS,female,94953
60,KY,female,165202
60,LA,female,155771
60,MA,female,239616
60,MD,female,212225
60,ME,female,54289
60,MI,female,360268
60,MN,female,194848
60,MO,female,221012
60,MS,female,97872
60,MT,female,36678
60,NC,female,341253
60,ND,female,23431
60,NE,female,62402
60,NH,female,55984
60,NJ,female,320627
60,NM,female,74414
60,NV,female,92417
60,NY,female,699887
60,OH,female,425235
60,OK,female,125578
60,OR,female,139205
60,PA,female,480703
60,RI,female,39934
60,SC,female,179941
60,SD,female,29712
60,TN,female,236744
60,TX,female,817835
60,UT,female,75283
60,VA,female,287642
60,VT,female,27401
60,WA,female,242641
60,WI,female,209935
60,WV,female,67505
60,WY,female,21079
65,AK,female,18668
65,AL,female,147709
65,AR,female,86261
65,AZ,female,211241
65,CA,female,1076348
65,CO,female,165126
65,CT,female,110425
65,DC,female,16881
65,DE,female,32536
65,FL,female,678603
65,GA,female,289142
65,HI,female,45024
65,IA,female,96530
65,ID,female,46008
65,IL,female,377443
65,IN,female,190302
65,KS,female,88907
65,KY,female,135836
65,LA,female,139510
65,MA,female,219099
65,MD,female,187756
65,ME,female,49645
65,MI,female,331005
65,MN,female,160011
65,MO,female,188494
65,MS,female,90869
65,MT,female,36313
65,NC,female,314371
65,ND,female,20235
65,NE,female,54632
65,NH,female,42614
65,NJ,female,269123
65,NM,female,64983
65,NV,female,85188
65,NY,female,601643
65,OH,female,381129
65,OK,female,119403
65,OR,female,145998
65,PA,female,415946
65,RI,female,31382
65,SC,female,164595
65,SD,female,25949
65,TN,female,202275
65,TX,female,705140
65,UT,female,65644
65,VA,female,249848
65,VT,female,21759
65,WA,female,221570
65,WI,female,182397
65,WV,female,70182
65,WY,female,19036
70,AK,female,13143
70,AL,female,134630
70,AR,female,78247
70,AZ,female,183792
70,CA,female,884171
70,CO,female,125973
70,CT,female,90370
70,DC,female,13829
70,DE,female,29612
70,FL,female,616341
70,GA,female,238491
70,HI,female,36796
70,IA,female,73570
70,ID,female,41126
70,IL,female,304671
70,IN,female,163146
70,KS,female,66714
70,KY,female,117014
70,LA,female,112977
70,MA,female,169976
70,MD,female,150084
70,ME,female,43433
70,MI,female,259532
70,MN,female,124080
70,MO,female,155994
70,MS,female,77380
70,MT,female,28004
70,NC,female,269998
70,ND,female,15494
70,NE,female,44026
70,NH,female,38097
70,NJ,female,225391
70,NM,female,54734
70,NV,female,74430
70,NY,female,494389
70,OH,female,303443
70,OK,female,91514
70,OR,female,114733
70,PA,female,347779
70,RI,female,27270
70,SC,female,149655
70,SD,female,18543
70,TN,female,180391
70,TX,female,563301
70,UT,female,50404
70,VA,female,207254
70,VT,female,17767
70,WA,female,183294
70,WI,female,147147
70,WV,female,58866
70,WY,female,14249
75,AK,female,8217
75,AL,female,95992
75,AR,female,61550
75,AZ,female,142562
75,CA,female,623171
75,CO,female,80875
75,CT,female,73665
75,DC,female,9155
75,DE,female,17921
75,FL,female,500010
75,GA,female,171640
75,HI,female,27041
75,IA,female,58242
75,ID,female,28823
75,IL,female,221895
75,IN,female,119792
75,KS,female,48808
75,KY,female,84506
75,LA,female,81842
75,MA,female,125862
75,MD,female,103630
75,ME,female,29756
75,MI,female,195226
75,MN,female,92583
75,MO,female,117442
75,MS,female,57614
75,MT,female,22501
75,NC,female,191411
75,ND,female,12351
75,NE,female,31559
75,NH,female,25722
75,NJ,female,156713
75,NM,female,41266
75,NV,female,54894
75,NY,female,356603
75,OH,female,221628
75,OK,female,79819
75,OR,female,77470
75,PA,female,264462
75,RI,female,20469
75,SC,female,98542
75,SD,female,17759
75,TN,female,122624
75,TX,female,414393
75,UT,female,37813
75,VA,female,140423
75,VT,female,13984
75,WA,female,119656
75,WI,female,103911
75,WV,female,37753
75,WY,female,9589
80,AK,female,4897
80,AL,female,76820
80,AR,female,41903
80,AZ,female,103301
80,CA,female,460013
80,CO,female,59340
80,CT,female,48937
80,DC,female,5619
80,DE,female,15001
80,FL,female,367793
80,GA,female,112479
80,HI,female,18590
80,IA,female,44189
80,ID,female,22930
80,IL,female,174142
80,IN,female,88757
80,KS,female,40530
80,KY,female,60206
80,LA,female,60620
80,MA,female,89937
80,MD,female,79679
80,ME,female,21011
80,MI,female,138298
80,MN,female,74620
80,MO,female,89237
80,MS,female,42095
80,MT,female,15224
80,NC,female,140078
80,ND,female,10395
80,NE,female,26480
80,NH,female,18317
80,NJ,female,121463
80,NM,female,30121
80,NV,female,34546
80,NY,female,278577
80,OH,female,162806
80,OK,female,51851
80,OR,female,52387
80,PA,female,205701
80,RI,female,13524
80,SC,female,64485
80,SD,female,11888
80,TN,female,90849
80,TX,female,285313
80,UT,female,28727
80,VA,female,104819
80,VT,female,9055
80,WA,female,84539
80,WI,female,80915
80,WV,female,29856
80,WY,female,5787
80+,AK,female,7031
80+,AL,female,99840
80+,AR,female,66467
80+,AZ,female,130985
80+,CA,female,719688
80+,CO,female,87035
80+,CT,female,91774
80+,DC,female,13077
80+,DE,female,19705
80+,FL,female,551246
80+,GA,female,159213
80+,HI,female,38421
80+,IA,female,85901
80+,ID,female,27346
80+,IL,female,269535
80+,IN,female,138682
80+,KS,female,66455
80+,KY,female,89981
80+,LA,female,90049
80+,MA,female,168724
80+,MD,female,113855
80+,ME,female,35142
80+,MI,female,224861
80+,MN,female,119042
80+,MO,female,137696
80+,MS,female,56923
80+,MT,female,22586
80+,NC,female,193100
80+,ND,female,18834
80+,NE,female,43089
80+,NH,female,28531
80+,NJ,female,213047
80+,NM,female,39911
80+,NV,female,43161
80+,NY,female,454424
80+,OH,female,279549
80+,OK,female,75578
80+,OR,female,87458
80+,PA,female,346499
80+,RI,female,30232
80+,SC,female,95914
80+,SD,female,20244
80+,TN,female,133860
80+,TX,female,402758
80+,UT,female,35894
80+,VA,female,160019
80+,VT,female,14866
80+,WA,female,134888
80+,WI,female,133601
80+,WV,female,45090
80+,WY,female,11578
