age_cat,stab,variable,value
25,PA,male,433641
25,RI,male,39304
25,SC,male,177386
25,SD,male,28768
25,TN,male,235349
25,TX,male,1020745
25,UT,male,134025
25,VA,male,316102
25,VT,male,21202
25,WA,male,259830
25,WI,male,204804
25,WV,male,62673
25,WY,male,21344
30,AK,male,33327
30,AL,male,152106
30,AR,male,96682
30,AZ,male,239428
30,CA,male,1520467
30,CO,male,225033
30,CT,male,106097
30,DC,male,37942
30,DE,male,27121
30,FL,male,657764
30,GA,male,347222
30,HI,male,57319
30,IA,male,95388
30,ID,male,53557
30,IL,male,440794
30,IN,male,206697
30,KS,male,101055
30,KY,male,137888
30,LA,male,159097
30,MA,male,235405
30,MD,male,203810
30,ME,male,35649
30,MI,male,318332
30,MN,male,185522
30,MO,male,195133
30,MS,male,90689
30,MT,male,32655
30,NC,male,318666
30,ND,male,32171
30,NE,male,61006
30,NH,male,39962
30,NJ,male,285225
30,NM,male,76334
30,NV,male,102799
30,NY,male,747220
30,OH,male,380563
30,OK,male,140798
30,OR,male,139761
30,PA,male,418316
30,RI,male,36809
30,SC,male,156039
30,SD,male,29471
30,TN,male,209343
30,TX,male,1022620
30,UT,male,111260
30,VA,male,288284
30,VT,male,19315
30,WA,male,270634
30,WI,male,182945
30,WV,male,50263
30,WY,male,19594
35,AK,male,28870
35,AL,male,151763
35,AR,male,95303
35,AZ,male,222697
35,CA,male,1419613
35,CO,male,214572
35,CT,male,106851
35,DC,male,32770
35,DE,male,31223
35,FL,male,618220
35,GA,male,336050
35,HI,male,55211
35,IA,male,101805
35,ID,male,56428
35,IL,male,442017
35,IN,male,211542
35,KS,male,93230
35,KY,male,142615
35,LA,male,167789
35,MA,male,226513
35,MD,male,200404
35,ME,male,36616
35,MI,male,292928
35,MN,male,197157
35,MO,male,192372
35,MS,male,90308
35,MT,male,32719
35,NC,male,320297
35,ND,male,29501
35,NE,male,70524
35,NH,male,37372
35,NJ,male,298513
35,NM,male,65885
35,NV,male,100714
35,NY,male,667539
35,OH,male,356023
35,OK,male,130831
35,OR,male,138287
35,PA,male,401298
35,RI,male,32529
